,year,country,performer,song,place_f,points_f,place_sf1,points_sf1,place_sf2,points_sf2,broadcaster,composer,writer
 united kingdom_1969,1969, United Kingdom, Lulu, Boom Bang-a-bang, 1, 18,,,,, BBC, Alan Moorhouse, Peter Warne
 yugoslavia_1969,1969, Yugoslavia, Ivan, Pozdrav Svijetu, 13, 5,,,,, JRT, Milan Lentić, Milan Lentić
 belgium_1970,1970, Belgium, Jean Vallée, Viens L'oublier, 8, 5,,,,, RTB, Jean Vallée, Jean Vallée
 france_1970,1970, France, Guy Bonnet, Marie Blanche, 4, 8,,,,, ORTF, Guy Bonnet, André-Pierre Dousset
 germany_1970,1970, Germany, Katja Ebstein, Wunder Gibt Es Immer Wieder, 3, 12,,,,, ARD, Christian Bruhn, Günther Loose
 ireland_1970,1970, Ireland, Dana, All Kinds Of Everything, 1, 32,,,,, RTÉ," Derry Lindsay, Jackie Smith"," Derry Lindsay, Jackie Smith"
 italy_1970,1970, Italy, Gianni Morandi, Occhi Di Ragazza, 8, 5,,,,, RAI, Lucio Dalla," Sergio Bardotti, Gianfranco Baldazzi"
 luxembourg_1970,1970, Luxembourg, David-Alexandre Winter, Je Suis Tombé Du Ciel, 12, 0,,,,, CLT, Yves de Vriendt, Eddy Marnay
 monaco_1970,1970, Monaco, Dominique Dussault, Marlène, 8, 5,,,,, TMC," Eddie Barclay, Jimmy Walter", Henri Dijan
 netherlands_1970,1970, Netherlands, Patricia and Hearts of Soul, Waterman, 7, 7,,,,, NOS, Pieter Goemans, Pieter Goemans
 spain_1970,1970, Spain, Julio Iglesias, Gwendolyne, 4, 8,,,,, TVE, Julio Iglesias, Julio Iglesias
 switzerland_1970,1970, Switzerland, Henri Dès, Retour, 4, 8,,,,, SSR SRG, Henri Dès, Henri Dès
 united kingdom_1970,1970, United Kingdom, Mary Hopkin," Knock, Knock (who's There?)", 2, 26,,,,, BBC," John Carter, Geoff Stephens"," John Carter, Geoff Stephens"
 yugoslavia_1970,1970, Yugoslavia, Eva Sršen," Pridi, Dala Ti Bom Cvet", 11, 4,,,,, JRT, Mojmir Sepe, Dušan Velkaverh
 austria_1971,1971, Austria, Marianne Mendt, Musik, 16, 66,,,,, ORF," Richard Schönherz, Manuel Rigoni"," Richard Schönherz, Manuel Rigoni"
 belgium_1971,1971, Belgium, Lily Castel and Jacques Raymond," Goeie Morgen, Morgen", 14, 68,,,,, BRT, Paul Quintens, Phil van Cauwenbergh
 finland_1971,1971, Finland, Markku Aro and Koivisto Sisters, Tie Uuteen Päivään, 8, 84,,,,, YLE, Rauno Lehtinen, Rauno Lehtinen
 france_1971,1971, France, Serge Lama, Un Jardin Sur La Terre, 10, 82,,,,, ORTF, Alice Dona," Henri Dijan, Jacques Demarny"
 germany_1971,1971, Germany, Katja Ebstein, Diese Welt, 3, 100,,,,, ARD, Dieter Zimmermann, Fred Jay
 ireland_1971,1971, Ireland, Angela Farrell, One Day Love, 11, 79,,,,, RTÉ," Donald Martin, Ita Flynn"," Donald Martin, Ita Flynn"
 italy_1971,1971, Italy, Massimo Ranieri, L'amore è Un Attimo, 5, 91,,,,, RAI, Enrico Polito," Giancarlo Bigazzi, Gaetano Savio"
 luxembourg_1971,1971, Luxembourg, Monique Melsen," Pomme, Pomme, Pomme", 13, 70,,,,, CLT, Hubert Giraud, Pierre Cour
 malta_1971,1971, Malta, Joe Grech, Marija L-maltija, 18, 52,,,,, MBA, Joe Grech, Charles Mifsud
 monaco_1971,1971, Monaco, Séverine," Un Banc, Un Arbre, Une Rue", 1, 128,,,,, TMC, Jean-Pierre Bourtayre, Yves Dessca
 netherlands_1971,1971, Netherlands, Saskia and Serge, De Tijd, 6, 85,,,,, NOS, Joop Stokkermans, Gerrit den Braber
 norway_1971,1971, Norway, Hanne Krogh, Lykken Er..., 17, 65,,,,, NRK, Arne Bendiksen, Arne Bendiksen
 portugal_1971,1971, Portugal, Tonicha, Menina Do Alto Da Serra, 9, 83,,,,, RTP, Nuño Nazareth Fernandes, José Carlos Ary dos Santos
 spain_1971,1971, Spain, Karina, En Un Mundo Nuevo, 2, 115,,,,, TVE, Rafael Trabucchelli, Tony Luz
 sweden_1971,1971, Sweden, Family Four, Vita Vidder, 6, 85,,,,, SR, Håkan Elmquist, Håkan Elmquist
 switzerland_1971,1971, Switzerland," Peter, Sue and Marc", Les Illusions De Nos Vingt Ans, 12, 78,,,,, SSR SRG, Peter Reber, Maurice Tézé
 united kingdom_1971,1971, United Kingdom, Clodagh Rodgers, Jack In The Box, 4, 98,,,,, BBC, John Worsley, David Myers
 yugoslavia_1971,1971, Yugoslavia, Krunoslav Slabinac, Tvoj Djecak Je Tuzan, 14, 68,,,,, JRT, Ivica Krajač, Zvonimir Golob
 austria_1972,1972, Austria, The Milestones, Falter Im Wind, 5, 100,,,,, ORF," Richard Schönherz, Manuel Rigoni", Heinz Rudolf Unger
 belgium_1972,1972, Belgium, Serge and Christine Ghisoland, À La Folie Ou Pas Du Tout, 17, 55,,,,, RTBF," Daniël Nelis, Bob Milan", Daniël Nelis
 finland_1972,1972, Finland, Päivi Paunu and Kim Floor, Muistathan, 12, 78,,,,, YLE," Juha Flinck, Nacke Johansson", Juha Flinck
 france_1972,1972, France, Betty Mars, Comé-comédie, 11, 81,,,,, ORTF, Frédéric Botton, Frédéric Botton
 germany_1972,1972, Germany, Mary Roos, Nur Die Liebe Läßt Uns Leben, 3, 107,,,,, ARD, Joachim Heider, Joachim Relin
 ireland_1972,1972, Ireland, Sandie Jones, Ceol On Ghrá, 15, 72,,,,, RTÉ, Joe Burkett, Liam MacUistín
 italy_1972,1972, Italy, Nicola di Bari, I Giorni Dell' Arcobaleno, 6, 92,,,,, RAI," Piero Pintucci, Nicola di Bari", Dalmazio Masini
 luxembourg_1972,1972, Luxembourg, Vicky Leandros, Après Toi, 1, 128,,,,, CLT," Mario Panas, Klaus Munro"," Yves Dessca, Klaus Munro"
 malta_1972,1972, Malta, Helen and Joseph, L-imhabba, 18, 48,,,,, MBA, Charles Camilleri, Albert Cassola
 monaco_1972,1972, Monaco, Anne-Marie Godart and Peter MacLane, Comme On S'aime, 16, 65,,,,, TMC, Raymond Bernard, Jean Drejac
 netherlands_1972,1972, Netherlands, Sandra and Andres, Als Het Om De Liefde Gaat, 4, 106,,,,, NOS, Dries Holten, Hans van Hemert
 norway_1972,1972, Norway, Grethe Kausland and Benny Borg, Småting, 14, 73,,,,, NRK," Kåre Grøttum, Ivar Børsum"," Kåre Grøttum, Ivar Børsum"
 portugal_1972,1972, Portugal, Carlos Mendes, A Festa Da Vida, 7, 90,,,,, RTP, José Calvário, José Niza
 spain_1972,1972, Spain, Jaime Morey, Amanece, 10, 83,,,,, TVE, Augusto Algueró, Ramón Arcusa
 sweden_1972,1972, Sweden, Family Four, Härliga Sommardag, 13, 75,,,,, SR, Håkan Elmquist, Håkan Elmquist
 switzerland_1972,1972, Switzerland, Véronique Müller, C'est La Chanson De Mon Amour, 8, 88,,,,, SSR SRG, Véronique Müller, Catherine Desage
 united kingdom_1972,1972, United Kingdom, The New Seekers," Beg, Steal Or Borrow", 2, 114,,,,, BBC," Tony Cole, Steve Wolfe, Graeme Hall"," Tony Cole, Steve Wolfe, Graeme Hall"
 yugoslavia_1972,1972, Yugoslavia, Tereza, Muzika I Ti, 9, 87,,,,, JRT, Nikica Kalogjera, Ivica Krajač
 belgium_1973,1973, Belgium, Nicole and Hugo," Baby, Baby", 17, 58,,,,, BRT, Ignace Baert, Erik Marijsse
 finland_1973,1973, Finland, Marion Rung, Tom Tom Tom, 6, 93,,,,, YLE, Rauno Lehtinen," Rauno Lehtinen, B. Barrett"
 france_1973,1973, France, Martine Clémenceau, Sans Toi, 15, 65,,,,, ORTF, Paul Koulak, Anne Grégory
 germany_1973,1973, Germany, Gitte, Junger Tag, 8, 85,,,,, ARD, Günther-Eric Thöner, Stephan Lego
 ireland_1973,1973, Ireland, Maxi, Do I Dream?, 10, 80,,,,, RTÉ," Jack Brierlev, George F. Crosbie"," Jack Brierlev, George F. Crosbie"
 israel_1973,1973, Israel, Ilanit, Ey-sham, 4, 97,,,,, IBA, Nurit Hirsh, Ehud Manor
 italy_1973,1973, Italy, Massimo Ranieri, Chi Sarà Con Te, 13, 74,,,,, RAI," Enrico Polito, Gaetano Savio", Giancarlo Bigazzi
 luxembourg_1973,1973, Luxembourg, Anne-Marie David, Tu Te Reconnaîtras, 1, 129,,,,, CLT, Claude Morgan, Vline Buggy
 monaco_1973,1973, Monaco, Marie, Un Train Qui Part, 8, 85,,,,, TMC, Bernard Liamis, Boris Bergman
 netherlands_1973,1973, Netherlands, Ben Cramer, De Oude Muzikant, 14, 69,,,,, NOS, Pierre Kartner, Pierre Kartner
 norway_1973,1973, Norway, Bendik Singers, It's Just A Game, 7, 89,,,,, NRK, Arne Bendiksen, Bob Williams
 portugal_1973,1973, Portugal, Fernando Tordo, Tourada, 10, 80,,,,, RTP, Fernando Tordo, José Carlos Ary dos Santos
 spain_1973,1973, Spain, Mocedades, Eres Tú, 2, 125,,,,, TVE, Juan Carlos Calderón, Juan Carlos Calderón
 sweden_1973,1973, Sweden, The Nova and The Dolls, You're Summer, 5, 94,,,,, SR," Monica Dominique, Carl-Axel Dominique", Lars Forssell
 switzerland_1973,1973, Switzerland, Patrick Juvet," Je Me Vais Marier, Marie", 12, 79,,,,, SSR SRG, Patrick Juvet, Pierre Delanoë
 united kingdom_1973,1973, United Kingdom, Cliff Richard, Power To All Our Friends, 3, 123,,,,, BBC," Guy Fletcher, Doug Flett"," Guy Fletcher, Doug Flett"
 yugoslavia_1973,1973, Yugoslavia, Zdravko Colic, Gori Vatra, 15, 65,,,,, JRT, Kemal Monteno, Kemal Monteno
 belgium_1974,1974, Belgium, Jacques Hustin, Fleur De Liberté, 9, 10,,,,, RTB, Jacques Hustin, Franck F. Gérald
 finland_1974,1974, Finland, Carita, Äla Mene Pois (keep Me Warm), 13, 4,,,,, YLE, Eero Koivistoinen, Hector
 germany_1974,1974, Germany, Cindy und Bert, Die Sommermelodie, 14, 3,,,,, ARD, Werner Scharfenberger, Kurt Feltz
 greece_1974,1974, Greece, Marinella," Krassi, Thalassa Ke T'agori Mou", 11, 7,,,,, ERT, Giorgos Katsaros, Pythagoras
 ireland_1974,1974, Ireland, Tina, Cross Your Heart, 7, 11,,,,, RTÉ, Paul Lyttle, Paul Lyttle
 israel_1974,1974, Israel, Poogy, Natati La Khaiai, 7, 11,,,,, IBA, Dani Sanderson," Dani Sanderson, Alon Oleartchick"
 italy_1974,1974, Italy, Gigliola Cinquetti, Si, 2, 18,,,,, RAI," M. Panzeri, D. Pace, L. Pilat, C. Conti"," M. Panzeri, D. Pace, L. Pilat, C. Conti"
 luxembourg_1974,1974, Luxembourg, Ireen Sheer," Bye, Bye, I Love You", 4, 14,,,,, CLT, Ralph Siegel, Michael Kunze
 monaco_1974,1974, Monaco, Romuald, Celui Qui Reste Et Celui Qui S'en Va, 4, 14,,,,, TMC, Jean-Pierre Bourtayre, Michel Jourdan
 netherlands_1974,1974, Netherlands, Mouth and MacNeal, I See A Star, 3, 15,,,,, NOS, Hans van Hemert, Gerrit den Braber
 norway_1974,1974, Norway, Anne-Karine Ström and the Bendik Singers, The First Day Of Love, 14, 3,,,,, NRK, Frode Thingnæs, Philip A. Kruse
 portugal_1974,1974, Portugal, Paulo de Carvalho, E Depois Do Adeus, 14, 3,,,,, RTP, José Calvário, José Niza
 spain_1974,1974, Spain, Peret, Canta Y Se Feliz, 9, 10,,,,, TVE, Pedro Pubill Calaf, Pedro Pubill Calaf
 sweden_1974,1974, Sweden, ABBA, Waterloo, 1, 24,,,,, SR," Benny Andersson, Björn Ulvaeus", Stikkan Anderson
 switzerland_1974,1974, Switzerland, Piera Martell, Mein Ruf Nach Dir, 14, 3,,,,, SSR SRG, Pepe Ederer, Pepe Ederer
 united kingdom_1974,1974, United Kingdom, Olivia Newton-John, Long Live Love, 4, 14,,,,, BBC," Valerie Avon, Harold Spiro"," Valerie Avon, Harold Spiro"
 yugoslavia_1974,1974, Yugoslavia, Korni, Generacija 42, 12, 6,,,,, JRT, Kornelije Kovač, Kornelije Kovač
 belgium_1975,1975, Belgium, Ann Christy, Gelukkig Zijn, 15, 17,,,,, BRT, Mary Boduin, Mary Boduin
 finland_1975,1975, Finland, Pihasoittajat, Old Man Fiddle, 7, 74,,,,, YLE, Kim Kuusi, Hannu Karlsson
 france_1975,1975, France, Nicole Rieu, Et Bonjour à Toi L'artiste, 4, 91,,,,, TF1," Pierre Delanoë, Jaff Barnel"," Pierre Delanoë, Jaff Barnel"
 germany_1975,1975, Germany, Joy Fleming, Ein Lied Kann Eine Brücke Sein, 17, 15,,,,, ARD, Reiner Pietsch, Michael Holm
 ireland_1975,1975, Ireland, The Swarbriggs, That's What Friends Are For, 9, 68,,,,, RTÉ," Tommy Swarbrigg, Jimmy Swarbrigg"," Tommy Swarbrigg, Jimmy Swarbrigg"
 israel_1975,1975, Israel, Shlomo Artzi, At Ve'ani, 11, 40,,,,, IBA, Shlomo Artzi, Ehud Manor
 italy_1975,1975, Italy, Wess and Dori Ghezzi, Era, 3, 115,,,,, RAI, Shel Shapiro, Andrea Lo Vecchio
 luxembourg_1975,1975, Luxembourg, Géraldine, Toi, 5, 84,,,,, CLT," Bill Martin, Phil Coulter, Pierre Cour"," Bill Martin, Phil Coulter, Pierre Cour"
 malta_1975,1975, Malta, Renato, Singing This Song, 12, 32,,,,, MBA, Sammy Galea, M. Iris Mifsud
 monaco_1975,1975, Monaco, Sophie, Une Chanson C'est Une Lettre, 13, 22,,,,, TMC, André Popp, Boris Bergman
 netherlands_1975,1975, Netherlands, Teach-In, Ding-A-Dong, 1, 152,,,,, NOS, Dick Bakker," Eddy Ouwens, Will Luikinga"
 norway_1975,1975, Norway, Ellen Nikolaysen, You Touched My Life With Summer, 18, 11,,,,, NRK, Svein Hundsnes, Svein Hundsnes
 portugal_1975,1975, Portugal, Duarte Mendes, Madrugada, 16, 16,,,,, RTP, José Luis Tinoco, José Luis Tinoco
 spain_1975,1975, Spain, Sergio y Estíbaliz, Tú Volverás, 10, 53,,,,, TVE, Juan Carlos Calderón, Juan Carlos Calderón
 sweden_1975,1975, Sweden, Lars Berghagen and the Dolls," Jennie, Jennie", 8, 72,,,,, SR, Lars Berghagen, Lars Berghagen
 switzerland_1975,1975, Switzerland, Simone Drexel, Mikado, 6, 77,,,,, SSR SRG, Simone Drexel, Simone Drexel
 turkey_1975,1975, Turkey, Semiha Yanki, Seninle Bir Dakika, 19, 3,,,,, TRT, Kemal Ebcioğlu, Münir Ebcioğlu
 united kingdom_1975,1975, United Kingdom, The Shadows, Let Me Be The One, 2, 138,,,,, BBC, Paul Curtis, Paul Curtis
 yugoslavia_1975,1975, Yugoslavia, Pepel In Kri, Dan Ljubezni, 13, 22,,,,, JRT, Tadej Hrušovar, Dušan Velkaverh
 austria_1976,1976, Austria, Waterloo and Robinson, My Little World, 5, 80,,,,, ORF, Gerhard Heinz, Gerhard Heinz
 belgium_1976,1976, Belgium, Pierre Rapsat, Judy Et Cie., 8, 68,,,,, RTB, Pierre Rapsat, Eric van Hulse
 finland_1976,1976, Finland, Fredi and The Friends, Pump-pump, 11, 44,,,,, YLE, Vexi Salmi, Matti Siitonen
 france_1976,1976, France, Catherine Ferry," Un, Deux, Trois", 2, 147,,,,, TF1, Tony Rallo, Jean-Paul Cara
 germany_1976,1976, Germany, Les Humphries Singers," Sing, Sang, Song", 15, 12,,,,, ARD, Ralph Siegel, Kurt Hertha
 greece_1976,1976, Greece, Mariza Koch," Panaghia Mou, Panaghia Mou", 13, 20,,,,, ERT, Mariza Koch, Michael Fotiades
 ireland_1976,1976, Ireland, Red Hurley, When, 10, 54,,,,, RTÉ, Brendan J. Graham, Brendan J. Graham
 israel_1976,1976, Israel," Chocolate, Menta, Mastik", Emor Shalom, 6, 77,,,,, IBA, Matti Caspi, Ehud Manor
 italy_1976,1976, Italy, Romina and Al Bano, We'll Live It All Again, 7, 69,,,,, RAI, Detto Mariano," Romina Power, Albano Carrisi"
 luxembourg_1976,1976, Luxembourg, Jürgen Marcus, Chansons Pour Ceux Qui S'aiment, 14, 17,,,,, CLT, Jack White," Fred Jay, Vline Buggy"
 monaco_1976,1976, Monaco, Mary Christy," Toi, La Musique Et Moi", 3, 93,,,,, TMC, Georges Costa, Gilbert Sinoué
 netherlands_1976,1976, Netherlands, Sandra Reemer, The Party's Over Now, 9, 56,,,,, NOS, Hans van Hemert, Hans van Hemert
 norway_1976,1976, Norway, Anne-Karine Ström, Mata Hari, 18, 7,,,,, NRK, Frode Thingnæs, Philip A. Kruse
 portugal_1976,1976, Portugal, Carlos do Carmo, Uma Flor De Verde Pinho, 12, 24,,,,, RTP, José Niza, Manuel Alégre
 spain_1976,1976, Spain, Braulio, Sobran Las Palabras, 16, 11,,,,, TVE, Braulio Antonio García Bautista, Braulio Antonio García Bautista
 switzerland_1976,1976, Switzerland," Peter, Sue and Marc"," Djambo, Djambo", 4, 91,,,,, SSR SRG, Peter Reber, Peter Reber
 united kingdom_1976,1976, United Kingdom, Brotherhood of Man, Save Your Kisses For Me, 1, 164,,,,, BBC," Tony Hiller, Lee Sheriden, Martin Lee"," Tony Hiller, Lee Sheriden, Martin Lee"
 yugoslavia_1976,1976, Yugoslavia, Ambasadori, Ne Mogu Skriti Svoju Bol, 17, 10,,,,, JRT, Slobodan Vujović, Slobodan Djurasović
 austria_1977,1977, Austria, Schmetterlinge, Boom Boom Boomerang, 17, 11,,,,, ORF," Schuri Herrnstadt, Herbert Zöchling-Tampier, Willi Resetarits", Lukas Resetarits
 belgium_1977,1977, Belgium, Dream Express," A Million In One, Two, Three", 7, 69,,,,, BRT, Luc Smets, Luc Smets
 finland_1977,1977, Finland, Monica Aspelund, Lapponia, 10, 50,,,,, YLE, Aarno Raninen, Monica Aspelund
 france_1977,1977, France, Marie Myriam, L'oiseau Et L'enfant, 1, 136,,,,, TF1, Jean-Paul Cara, Joe Gracy
 germany_1977,1977, Germany, Silver Convention, Telegram, 8, 55,,,,, ARD, Sylvester Levai, Michael Kunze
 greece_1977,1977, Greece," Pascalis, Marianna, Robert and Bessy", Mathema Solfege, 5, 92,,,,, ERT, Giorgos Hatzinasios, Sevy Tilliaku
 ireland_1977,1977, Ireland, The Swarbriggs Plus Two, It's Nice To Be In Love Again, 3, 119,,,,, RTÉ," Tommy Swarbrigg, Jimmy Swarbrigg"," Tommy Swarbrigg, Jimmy Swarbrigg"
 israel_1977,1977, Israel, Ilanit, Ah-haa-vah Hee Shir Lish-naa-yim, 11, 49,,,,, IBA, Eldad Shrim, Edna Peleg
 italy_1977,1977, Italy, Mia Martini, Liberà, 13, 33,,,,, RAI, Salvatore Fabrizio, Luigi Albertelli
 luxembourg_1977,1977, Luxembourg, Anne Marie B., Frère Jacques, 16, 17,,,,, CLT," Pierre Cour, Guy Béart"," Pierre Cour, Guy Béart"
 monaco_1977,1977, Monaco, Michèle Torr, Une Petite Française, 4, 96,,,,, TMC," Paul de Senneville, O. Toussaint", Jean Albertini
 netherlands_1977,1977, Netherlands, Heddy Lester, De Mallemolen, 12, 35,,,,, NOS, Frank Affolter, Wim Hogenkamp
 norway_1977,1977, Norway, Anita Skorgan, Casanova, 14, 18,,,,, NRK, Svein Strugstad, Dag Nordtømme
 portugal_1977,1977, Portugal, Os Amigos, Portugal No Coração, 14, 18,,,,, RTP, Fernando Tordo, José Carlos Ary dos Santos
 spain_1977,1977, Spain, Micky, Enseñame A Cantar, 9, 52,,,,, TVE, Fernando Arbex, Fernando Arbex
 sweden_1977,1977, Sweden, Forbes, Beatles, 18, 2,,,,, SR, Claes Bure, Sven-Olof Bagge
 switzerland_1977,1977, Switzerland, Pepe Lienhard Band, Swiss Lady, 6, 71,,,,, SSR SRG, Peter Reber, Peter Reber
 united kingdom_1977,1977, United Kingdom, Lynsey de Paul and Mike Moran, Rock Bottom, 2, 121,,,,, BBC," Lynsey de Paul, Mike Moran"," Lynsey de Paul, Mike Moran"
 austria_1978,1978, Austria, Springtime, Mrs. Caroline Robinson, 15, 14,,,,, ORF, Springtime, Springtime
 belgium_1978,1978, Belgium, Jean Vallée, L'amour ça Fait Chanter La Vie, 2, 125,,,,, RTBF, Jean Vallée, Jean Vallée
 denmark_1978,1978, Denmark, Mabel, Boom Boom, 16, 13,,,,, DR, Mabel, Mabel
 finland_1978,1978, Finland, Seija Simola, Anna Rakkaudelle Tilaisuus, 18, 2,,,,, YLE, Reijo Karvonen," Reijo Karvonen, Seija Simola"
 france_1978,1978, France, Joël Prévost, Il Y Aura Toujours Des Violons, 3, 119,,,,, TF1, Gérard Stern, Didier Barbelivien
 germany_1978,1978, Germany, Ireen Sheer, Feuer, 6, 84,,,,, ARD, Jean Frankfurter, John Möring
 greece_1978,1978, Greece, Tania Tsanaklidou, Charlie Chaplin, 8, 66,,,,, ERT, Sakis Tsilikis, Yannis Xanthulis
 ireland_1978,1978, Ireland, Colm T. Wilkinson, Born To Sing, 5, 86,,,,, RTÉ, Colm C. T. Wilkinson, Colm C. T. Wilkinson
 israel_1978,1978, Israel, Izhar Cohen and the Alphabeta, Abanibi, 1, 157,,,,, IBA, Nurit Hirsh, Ehud Mano
 italy_1978,1978, Italy, Ricchi e Poveri, Questo Amore, 12, 53,,,,, RAI," Dario Farina, Mauro Lusini", Sergio Bardotti
 luxembourg_1978,1978, Luxembourg, Baccara, Parlez-vous Français?, 7, 73,,,,, CLT, Rolf Soja," Frank Dostal, Péter Zentner"
 monaco_1978,1978, Monaco, Caline and Olivier Toussaint, Les Jardins De Monaco, 4, 107,,,,, TMC," P. de Senneville, O. Toussaint"," J. Albertini, Didier Barbelivien"
 netherlands_1978,1978, Netherlands, Harmony, 't Is Ok, 13, 37,,,,, NOS, Eddy Ouwens," Toon Gispen, Dick Kooiman"
 norway_1978,1978, Norway, Jahn Teigen, Mil Etter Mil, 20, 0,,,,, NRK, Kai Eide, Kai Eide
 portugal_1978,1978, Portugal, Gemini, Dai-li-dou, 17, 5,,,,, RTP, Victor Maméde, Carlos Quintas
 spain_1978,1978, Spain, José Vélez, Bailemos Un Vals, 9, 65,,,,, TVE," Manuel de la Calva, Ramón Arcusa"," Manuel de la Calva, Ramón Arcusa"
 sweden_1978,1978, Sweden, Björn Skifs, Det Blir Alltid Värre Framåt Natten, 14, 26,,,,, SR, Peter Himmelstrand, Peter Himmelstrand
 switzerland_1978,1978, Switzerland, Carole Vinci, Vivre, 9, 65,,,,, SSR SRG, Alain Morisod, Pierre Alain
 turkey_1978,1978, Turkey, Nazar, Sevinçe, 18, 2,,,,, TRT, Dağhan Baydur, Hulki Aktunç
 united kingdom_1978,1978, United Kingdom, Co-Co, The Bad Old Days, 11, 61,,,,, BBC," Stephanie de Sykes, Stuart Slater"," Stephanie de Sykes, Stuart Slater"
 austria_1979,1979, Austria, Christina Simon, Heute In Jerusalem, 18, 5,,,,, ORF, Peter Wolf, André Heller
 belgium_1979,1979, Belgium, Micha Marah, Hey Nana, 18, 5,,,,, BRT, Charles Dumolin, Guy Beyers
 denmark_1979,1979, Denmark, Tommy Seebach, Disco Tango, 6, 76,,,,, DR, Tommy Seebach, Keld Heick
 finland_1979,1979, Finland, Katri-Helena, Katso Sineen Taivaan, 14, 38,,,,, YLE, Matti Siitonen, Vexi Salmi
 france_1979,1979, France, Anne-Marie David, Je Suis L'enfant-soleil, 3, 106,,,,, TF1, Hubert Giraud, Eddy Marnay
 germany_1979,1979, Germany, Dschinghis Khan, Dschinghis Khan, 4, 86,,,,, ARD, Ralph Siegel, Bernd Meinunger
 greece_1979,1979, Greece, Elpida, Socrates, 8, 69,,,,, ERT, Doros Georgiadis, Sotia Tsotu
 ireland_1979,1979, Ireland, Cathal Dunne, Happy Man, 5, 80,,,,, RTÉ, Cathal Dunne, Cathal Dunne
 israel_1979,1979, Israel, Milk and Honey, Hallelujah, 1, 125,,,,, IBA, Kobi Oshrat, Shimrit Orr
 italy_1979,1979, Italy, Matia Bazar, Raggio Di Luna, 15, 27,,,,, RAI," A. Ruggiero, P. Cassano, C. Marrale"," S. Stellita, G. Golzi"
 luxembourg_1979,1979, Luxembourg, Jeane Manson, J'ai Déjà Vu ça Dans Tes Yeux, 13, 44,,,,, CLT, Jean Renard, Jean Renard
 monaco_1979,1979, Monaco, Laurent Vaguener," Notre Vie, C'est La Musique", 16, 12,,,,, TMC," Paul de Senneville, Jean Baudlot"," J. Albertini, Didier Barbelivien"
 netherlands_1979,1979, Netherlands, Xandra, Colorado, 12, 51,,,,, NOS, Rob Bolland," Ferdi Bolland, Gerard Cox"
 norway_1979,1979, Norway, Anita Skorgan, Oliver, 11, 57,,,,, NRK, Anita Skorgan, Philip A. Kruse
 portugal_1979,1979, Portugal, Manuela Bravo," Sobe, Sobe, Balão Sobe", 9, 64,,,,, RTP, Carlos Nobrega e Sousa, Carlos Nobrega e Sousa
 spain_1979,1979, Spain, Betty Missiego, Su Canción, 2, 116,,,,, TVE, Fernando Moreno, Fernando Moreno
 sweden_1979,1979, Sweden, Ted Gärdestad, Satellit, 17, 8,,,,, SR, Ted Gärdestad, Kenneth Gärdestad
 switzerland_1979,1979, Switzerland," Peter, Sue and Marc and Pfuri, Gorps and Kniri", Trödler Und Co., 10, 60,,,,, SSR SRG, Peter Reber, Peter Reber
 united kingdom_1979,1979, United Kingdom, Black Lace, Mary Ann, 7, 73,,,,, BBC, Peter Morris, Peter Morris
 austria_1980,1980, Austria, Blue Danube, Du Bist Musik, 8, 64,,,,, ORF, Klaus-Peter Sattler, Klaus-Peter Sattler
 belgium_1980,1980, Belgium, Telex, Euro-vision, 17, 14,,,,, RTBF," Michel Moers, Dan Lacksman, Marc Moulin"," Michel Moers, Dan Lacksman, Marc Moulin"
 denmark_1980,1980, Denmark, Bamses Venner, Tænker Altid På Dig, 14, 25,,,,, DR, Bjarne Gren Jensen, Flemming Jørgensen
 finland_1980,1980, Finland, Vesa-Matti Loiri, Huilumies, 19, 6,,,,, YLE, Aarno Raninen, Vexi Salmi
 france_1980,1980, France, Profil," Hé, Hé M'sieurs Dames", 11, 45,,,,, TF1, Sylvano Sontorio," Richard de Bordeaux, Richard Joffo"
 germany_1980,1980, Germany, Katja Ebstein, Theater, 2, 128,,,,, ARD, Ralph Siegel, Bernd Meinunger
 greece_1980,1980, Greece, Anna Vissi and the Epikouri, Autostop, 13, 30,,,,, ERT, Jick Nacassian, Rony Sofu
